permutation,total_pairs_primary,total_pairs_sens_incl_observed,total_pairs_sens_with_replacement,drawn_set_primary
839,28,40,36,ERBB2|IGF1R|IGF2R|LRP1|CD44|ERBB3|ITGB1
840,29,33,33,ITGB1|TGFBR2|ITGA6|ERBB2|SORT1|ERBB3|TNFRSF1A
841,27,31,29,LRP1|PDGFRB|SORT1|CD44|ITGB1|ITGA6|TNFRSF1A
842,25,25,28,CD44|NTRK2|ERBB2|ITGB5|SORT1|ITGA6|LRP1
843,37,31,38,ITGB4|TNFRSF12A|IGF2R|ITGB1|ERBB3|ITGB5|TNFRSF1A
844,28,30,30,ITGB1|FGFR1|CD44|ERBB2|IGF2R|TNFRSF1A|ERBB3
845,31,26,21,LRP1|PLXNA1|ITGB1|TNFRSF1A|SORT1|ITGB5|ERBB3
846,19,30,27,IGF2R|LRP5|SORT1|TNFRSF1A|ERBB2|ITGB4|LRP1
847,33,28,24,ITGB4|TGFBR2|CD44|ERBB2|ITGB1|ITGA6|TNFRSF1A
848,30,28,15,SORT1|ACVR1B|ERBB3|ERBB2|IGF2R|ITGB5|ITGB4
849,35,42,36,IGF2R|TNFRSF12A|ERBB3|ITGB1|ERBB2|CD44|SORT1
850,22,32,26,IGF2R|FGFR1|ERBB2|ITGB5|LRP1|ITGB1|ITGA6
851,27,32,31,ERBB2|BMPR2|IGF2R|SORT1|ITGB4|ITGB1|ERBB3
852,25,18,27,IGF2R|NTRK2|ITGB1|ITGB4|TNFRSF1A|ITGB5|CD44
853,33,31,30,ERBB3|FLT1|CD44|TNFRSF1A|ITGB4|ITGB5|IGF2R
854,28,36,27,LRP1|NRP1|ITGB4|IGF2R|ERBB2|SORT1|ERBB3
855,29,28,26,TNFRSF1A|NRP2|ITGB4|ITGB1|CD44|ERBB2|IGF2R
856,26,27,24,SORT1|FGFR1|CD44|LRP1|ITGB5|ERBB3|ERBB2
857,30,21,27,ITGB4|FLT1|ERBB3|IGF2R|ITGB1|ITGB5|TNFRSF1A
858,34,36,34,LRP1|IGF1R|ITGB5|CD44|ERBB2|ITGA6|ITGB4
859,32,33,39,ITGA6|ACVR1B|ERBB2|IGF2R|TNFRSF1A|ERBB3|ITGB1
860,30,26,16,IGF2R|IGF1R|ERBB3|SORT1|ITGB4|TNFRSF1A|ERBB2
861,30,25,35,ERBB3|NRP2|ITGB1|IGF2R|SORT1|ITGB4|ERBB2
862,47,42,31,ITGB5|TNFRSF12A|ITGB4|ITGA6|ITGB1|CD44|ERBB3
863,32,31,24,TNFRSF1A|IGF1R|ITGB1|LRP1|ITGA6|ERBB2|ERBB3
864,21,31,29,ERBB2|TGFBR2|TNFRSF1A|SORT1|ITGB4|IGF2R|ITGB5
865,35,31,29,CD44|FGFR1|ERBB2|ITGB1|ERBB3|ITGB4|TNFRSF1A
866,25,27,27,ITGB5|FLT1|IGF2R|LRP1|TNFRSF1A|CD44|ITGA6
867,30,29,31,IGF2R|TGFBR1|ITGA6|ITGB5|SORT1|CD44|ERBB3
868,28,21,20,ERBB3|TGFBR2|ITGB5|IGF2R|SORT1|ITGA6|CD44
869,21,24,28,ERBB3|BMPR2|IGF2R|ITGB5|CD44|SORT1|LRP1
870,30,30,24,ITGB4|TNFRSF12A|TNFRSF1A|SORT1|CD44|IGF2R|LRP1
871,32,34,29,LRP1|FLT1|ITGB5|ITGB1|ERBB2|ITGA6|ERBB3
872,23,25,28,ITGB5|BMPR2|TNFRSF1A|LRP1|ITGB4|ERBB2|ITGB1
873,35,39,28,LRP1|FLT1|ERBB2|ITGA6|ERBB3|CD44|ITGB1
874,24,27,27,SORT1|NRP2|CD44|TNFRSF1A|LRP1|ERBB3|IGF2R
875,35,27,27,LRP1|ACVR1B|ITGA6|ITGB5|ERBB3|ITGB4|TNFRSF1A
876,15,24,28,IGF2R|LRP5|LRP1|SORT1|ITGB1|CD44|ITGB5
877,28,32,37,ERBB2|FLT1|ERBB3|TNFRSF1A|CD44|LRP1|IGF2R
878,23,21,21,CD44|LRP5|TNFRSF1A|ERBB3|IGF2R|ITGB5|SORT1
879,35,27,22,ITGB1|PLXNA1|ITGA6|CD44|SORT1|TNFRSF1A|ITGB5
880,41,45,34,ITGB4|TNFRSF12A|ITGB1|ITGA6|SORT1|CD44|ERBB2
881,29,26,23,CD44|FLT1|TNFRSF1A|ITGB4|IGF2R|ITGB1|ERBB2
882,21,26,33,ITGB1|NRP1|LRP1|SORT1|IGF2R|ERBB3|ITGB5
883,20,29,19,ITGB5|FGFR1|TNFRSF1A|ERBB2|IGF2R|CD44|LRP1
884,32,36,33,CD44|PDGFRB|SORT1|ITGB4|TNFRSF1A|IGF2R|ITGA6
885,32,29,23,ITGB1|BMPR2|ITGA6|CD44|ERBB3|IGF2R|ERBB2
886,40,35,25,ITGB5|PLXNA1|LRP1|ERBB2|TNFRSF1A|ERBB3|ITGA6
887,33,31,29,IGF2R|IGF1R|CD44|ITGB4|ERBB2|LRP1|ERBB3
888,33,26,21,ITGB1|PLXNA1|ITGB5|CD44|ITGB4|IGF2R|SORT1
889,23,26,29,IGF2R|FLT1|ERBB2|ERBB3|SORT1|TNFRSF1A|LRP1
890,26,37,31,IGF2R|ACVR1B|ERBB3|ITGB1|LRP1|ITGB4|SORT1
891,40,34,32,ERBB2|PLXNA1|ERBB3|ITGB1|TNFRSF1A|ITGA6|IGF2R
892,24,19,23,ITGB4|NRP2|IGF2R|TNFRSF1A|ERBB2|LRP1|ITGB5
893,29,43,44,ITGB1|PDGFRB|ITGA6|ERBB2|IGF2R|SORT1|CD44
894,25,31,42,ERBB2|LRP5|ERBB3|LRP1|TNFRSF1A|IGF2R|CD44
895,31,24,24,CD44|IGF1R|ITGB5|ITGB4|SORT1|LRP1|ERBB3
896,37,38,22,SORT1|ACVR1B|ERBB2|ITGB4|ITGA6|ERBB3|ITGB5
897,40,34,36,ERBB3|PLXNA1|ERBB2|SORT1|ITGA6|ITGB1|TNFRSF1A
898,22,33,31,ITGA6|FGFR1|ERBB2|SORT1|ITGB1|TNFRSF1A|IGF2R
899,33,36,25,CD44|NTRK2|ITGA6|TNFRSF1A|ERBB3|SORT1|ERBB2
900,24,39,45,ERBB2|PDGFRB|LRP1|CD44|ITGB5|TNFRSF1A|IGF2R
901,31,29,31,ITGB4|NTRK2|ERBB3|LRP1|IGF2R|ITGB5|ITGA6
902,25,24,26,LRP1|FGFR1|ITGB1|ITGB5|ITGB4|TNFRSF1A|CD44
903,21,25,28,LRP1|BMPR2|ERBB2|CD44|ITGB1|ITGB5|TNFRSF1A
904,37,16,26,ERBB3|BMPR2|CD44|ITGB5|ITGB1|ITGB4|ITGA6
905,21,23,26,ERBB3|TGFBR2|ITGB5|LRP1|SORT1|IGF2R|CD44
906,28,28,24,ITGA6|NRP1|LRP1|ITGB5|ERBB3|SORT1|ITGB1
907,30,23,18,TNFRSF1A|FLT1|SORT1|ERBB2|ERBB3|LRP1|ITGB4
908,21,25,26,ERBB3|LRP5|SORT1|ITGB1|CD44|IGF2R|LRP1
909,26,19,25,TNFRSF1A|NRP2|ITGB4|ITGB1|LRP1|ITGB5|ERBB2
910,28,22,17,IGF2R|NRP2|ERBB3|ITGB1|TNFRSF1A|SORT1|ITGB4
911,23,32,30,ERBB2|NRP2|IGF2R|ITGB1|SORT1|LRP1|ERBB3
912,28,35,33,LRP1|TGFBR1|ITGA6|ITGB4|TNFRSF1A|ERBB2|IGF2R
913,18,37,35,ITGB5|NTRK2|LRP1|CD44|SORT1|IGF2R|ERBB2
914,23,17,21,ITGB5|FLT1|ERBB3|TNFRSF1A|LRP1|IGF2R|ITGB1
915,29,28,24,SORT1|LRP5|CD44|LRP1|ERBB2|ITGA6|ITGB4
916,41,40,47,IGF2R|TNFRSF12A|ITGA6|CD44|ITGB4|ERBB2|TNFRSF1A
917,32,25,30,ITGB5|TGFBR1|TNFRSF1A|CD44|ITGA6|IGF2R|ERBB3
918,19,18,25,SORT1|TGFBR1|CD44|ITGB5|TNFRSF1A|ITGB1|LRP1
919,33,31,32,LRP1|IGF1R|ITGB4|ITGB5|ERBB3|ITGA6|SORT1
920,32,22,24,ITGB1|LRP5|ITGA6|ITGB5|ITGB4|LRP1|ERBB3
921,22,29,28,ITGB1|LRP5|ERBB3|ERBB2|TNFRSF1A|IGF2R|LRP1
922,25,28,33,CD44|NTRK2|ITGA6|ITGB5|TNFRSF1A|ITGB1|IGF2R
923,31,33,30,SORT1|FLT1|ITGB4|ERBB2|ITGA6|ITGB5|TNFRSF1A
924,35,29,31,TNFRSF1A|NRP1|ITGA6|ERBB3|ITGB5|CD44|ITGB1
925,35,25,37,LRP1|PDGFRB|ITGB4|SORT1|ITGB5|ITGA6|ERBB3
926,33,31,37,ITGA6|FLT1|ERBB3|CD44|IGF2R|ITGB1|TNFRSF1A
927,35,33,42,ITGB1|PDGFRB|ERBB3|ITGA6|CD44|ITGB5|SORT1
928,28,24,28,TNFRSF1A|NTRK2|ITGB4|ERBB3|IGF2R|LRP1|ERBB2
929,35,28,31,ERBB3|NRP2|ITGB4|ERBB2|SORT1|CD44|TNFRSF1A
930,20,27,25,ITGB4|LRP5|IGF2R|CD44|LRP1|SORT1|TNFRSF1A
931,32,26,31,ERBB2|TGFBR1|ITGB1|TNFRSF1A|ITGB4|ITGA6|ITGB5
932,34,25,33,ERBB3|TGFBR1|ITGB4|ERBB2|ITGB5|IGF2R|CD44
933,31,36,36,SORT1|IGF1R|LRP1|CD44|ITGA6|TNFRSF1A|ERBB3
934,23,26,27,ITGB4|FLT1|LRP1|IGF2R|TNFRSF1A|CD44|SORT1
935,30,28,28,ITGB1|LRP5|ITGB4|TNFRSF1A|CD44|LRP1|ERBB3
936,32,33,25,ERBB3|NRP2|SORT1|ITGB1|ITGB4|TNFRSF1A|ERBB2
937,28,30,34,ERBB2|NRP2|TNFRSF1A|IGF2R|CD44|ERBB3|LRP1
938,21,25,24,SORT1|LRP5|LRP1|CD44|ERBB3|ITGB5|IGF2R
939,41,34,27,ITGA6|PLXNA1|SORT1|IGF2R|ITGB4|ERBB3|ITGB1
940,28,25,33,CD44|IGF1R|ITGB5|ERBB3|TNFRSF1A|ITGB1|LRP1
941,24,33,41,ITGB4|PDGFRB|LRP1|SORT1|IGF2R|ERBB2|TNFRSF1A
942,32,38,28,ERBB3|LRP5|ERBB2|ITGB1|ITGA6|IGF2R|CD44
943,18,20,24,TNFRSF1A|BMPR2|IGF2R|ITGB1|LRP1|ERBB3|SORT1
944,35,33,32,SORT1|NRP1|ERBB2|ITGA6|TNFRSF1A|CD44|ERBB3
945,30,30,24,ITGA6|FGFR1|ITGB5|ITGB1|LRP1|ERBB2|ERBB3
946,27,30,30,ERBB2|LRP5|SORT1|ITGA6|ITGB1|IGF2R|ERBB3
947,27,34,26,IGF2R|NTRK2|ITGA6|ERBB2|TNFRSF1A|LRP1|ITGB4
948,30,26,32,LRP1|ACVR1B|ITGB5|ITGB4|ERBB3|ERBB2|SORT1
949,32,34,29,ERBB3|PDGFRB|TNFRSF1A|SORT1|CD44|ITGB5|ERBB2
950,32,30,30,LRP1|ACVR1B|ERBB3|TNFRSF1A|ITGB5|ERBB2|ITGA6
951,18,25,25,LRP1|LRP5|TNFRSF1A|ITGB5|SORT1|ERBB3|IGF2R
952,32,31,32,ITGB5|PDGFRB|CD44|IGF2R|ITGA6|LRP1|ITGB4
953,37,31,41,ITGB4|TGFBR2|ERBB3|ITGA6|CD44|ERBB2|IGF2R
954,27,20,32,ITGB5|FGFR1|ITGA6|IGF2R|SORT1|ERBB2|ITGB4
955,41,37,37,ERBB3|PLXNA1|ITGB5|ITGB4|IGF2R|TNFRSF1A|CD44
956,31,33,29,SORT1|TGFBR1|TNFRSF1A|ITGB4|ITGB5|ERBB2|ERBB3
957,32,31,26,IGF2R|NRP1|ITGB4|ITGB1|ITGB5|CD44|ITGA6
958,21,21,28,IGF2R|NRP2|LRP1|ITGB1|TNFRSF1A|ERBB3|SORT1
959,27,29,29,ITGB5|NRP2|IGF2R|SORT1|ITGB4|CD44|ERBB2
960,30,32,21,SORT1|FLT1|IGF2R|ITGB5|ERBB3|ERBB2|ITGB4
961,26,28,30,ITGB1|TGFBR1|ERBB2|ITGB4|SORT1|IGF2R|CD44
962,21,22,13,SORT1|BMPR2|LRP1|ITGB1|TNFRSF1A|ERBB2|ITGA6
963,35,24,24,ITGA6|BMPR2|IGF2R|TNFRSF1A|CD44|ERBB3|ITGB4
964,35,22,24,ITGB1|IGF1R|ERBB3|ITGA6|TNFRSF1A|LRP1|ITGB4
965,39,28,24,ERBB3|FLT1|ERBB2|ITGB1|ITGB4|ITGB5|ITGA6
966,33,38,37,ITGB4|PLXNA1|IGF2R|LRP1|ITGB1|SORT1|ITGA6
967,22,30,32,LRP1|NRP1|ITGB1|TNFRSF1A|ERBB2|IGF2R|CD44
968,31,34,39,ITGB1|NTRK2|ERBB3|ITGA6|ITGB4|SORT1|IGF2R
969,25,21,26,ITGB5|TGFBR1|LRP1|TNFRSF1A|ERBB2|ITGB4|ITGB1
970,28,34,31,ITGB4|TGFBR1|ERBB2|ITGA6|TNFRSF1A|LRP1|SORT1
971,29,31,19,SORT1|TGFBR2|ERBB2|IGF2R|ITGA6|ITGB4|CD44
972,22,24,22,ITGB5|NTRK2|ITGA6|TNFRSF1A|SORT1|LRP1|ERBB2
973,23,19,25,ITGA6|TGFBR1|TNFRSF1A|IGF2R|SORT1|ITGB5|ERBB2
974,26,36,40,ERBB2|TGFBR2|ITGB1|ITGB4|IGF2R|ITGB5|CD44
975,29,26,22,LRP1|TGFBR1|IGF2R|CD44|ITGB4|ITGB1|ITGA6
976,25,30,28,TNFRSF1A|TGFBR1|LRP1|ERBB3|CD44|ITGB5|IGF2R
977,14,22,20,TNFRSF1A|TGFBR2|SORT1|IGF2R|ITGB5|LRP1|ERBB2
978,40,36,28,ITGA6|PLXNA1|ITGB5|LRP1|TNFRSF1A|ERBB2|ERBB3
979,34,29,28,ITGB1|BMPR2|ITGA6|TNFRSF1A|ERBB3|ERBB2|CD44
980,39,35,24,ITGB5|TGFBR1|ITGB4|CD44|ITGB1|ITGA6|ERBB3
981,35,22,29,ITGB1|NTRK2|ITGB4|CD44|ERBB2|TNFRSF1A|ERBB3
982,41,37,39,ITGB1|PDGFRB|ERBB3|ITGA6|ITGB5|ERBB2|ITGB4
983,30,27,23,IGF2R|TGFBR2|ITGB4|ITGB5|SORT1|ERBB3|ITGA6
984,26,30,15,LRP1|LRP5|ITGB4|ITGA6|TNFRSF1A|ERBB2|IGF2R
985,24,21,28,ITGB1|FLT1|SORT1|ITGA6|ERBB2|IGF2R|TNFRSF1A
986,30,16,19,ITGB1|ACVR1B|ITGB5|ERBB3|TNFRSF1A|ITGB4|IGF2R
987,20,28,24,LRP1|NRP1|TNFRSF1A|ITGB5|ITGB4|SORT1|IGF2R
988,33,30,20,ERBB3|NRP1|ITGA6|SORT1|CD44|ITGB1|ITGB5
989,29,32,31,CD44|NRP2|ITGA6|ERBB2|ITGB1|TNFRSF1A|LRP1
990,24,25,27,ERBB2|IGF1R|ITGB5|ITGB1|ITGA6|LRP1|IGF2R
991,21,40,41,TNFRSF1A|PDGFRB|IGF2R|ERBB2|LRP1|ITGB1|ITGB5
992,34,30,29,ERBB2|TGFBR2|ITGB1|ITGB4|ITGA6|IGF2R|ERBB3
993,25,28,19,ERBB3|LRP5|IGF2R|TNFRSF1A|CD44|ERBB2|SORT1
994,33,32,29,CD44|NRP2|SORT1|ERBB2|ITGB4|ERBB3|LRP1
995,30,32,27,ITGB4|IGF1R|ERBB2|ERBB3|IGF2R|ITGB5|SORT1
996,32,35,33,ITGB5|NRP2|SORT1|ERBB2|ITGB1|ERBB3|ITGA6
997,32,15,27,TNFRSF1A|TGFBR2|ITGA6|ITGB1|ERBB3|LRP1|ITGB4
998,22,28,21,ITGB5|BMPR2|SORT1|TNFRSF1A|ITGA6|CD44|LRP1
999,27,34,30,ITGA6|NTRK2|ITGB5|CD44|TNFRSF1A|ERBB2|LRP1
1000,31,29,28,CD44|BMPR2|LRP1|ITGB4|ERBB2|ITGB5|ITGA6
